Município;UF;Empresa;Porte da Prestadora;Código IBGE 
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
Conde;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2504603
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
João Pessoa;PB;Sigtel Servicos de Telecomunicacoes Ltda;Pequeno Porte;2507507
Pitimbu;PB;PGI SERVICOS DE TELECOMUNICACOES LTDA ME;Pequeno Porte;2511905
Pitimbu;PB;PGI SERVICOS DE TELECOMUNICACOES LTDA ME;Pequeno Porte;2511905
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Sertãozinho;PB;Mmcg Servicos de Comunicacao Ltda;Pequeno Porte;2515930
Belém;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501906
Belém;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501906
Santa Luzia;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513406
Santa Luzia;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513406
Santa Rita;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513703
Santa Rita;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513703
São Bento;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513901
São Bento;PB;Sitecnet Informatica Ltda;Pequeno Porte;2513901
Água Branca;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500106
Água Branca;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500106
Alagoa Grande;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500304
Alagoa Grande;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500304
Alagoa Nova;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500403
Alagoa Nova;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500403
Alagoinha;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500502
Alagoinha;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500502
Alhandra;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500601
Alhandra;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500601
São João do Rio do Peixe;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500700
São João do Rio do Peixe;PB;Sitecnet Informatica Ltda;Pequeno Porte;2500700
Araruna;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501005
Araruna;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501005
Areia;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501104
Areia;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501104
Aroeiras;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501302
Bananeiras;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501500
Bananeiras;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501500
Bayeux;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501807
Bayeux;PB;Sitecnet Informatica Ltda;Pequeno Porte;2501807
Boqueirão;PB;Sitecnet Informatica Ltda;Pequeno Porte;2502508
Boqueirão;PB;Sitecnet Informatica Ltda;Pequeno Porte;2502508
Caaporã;PB;Sitecnet Informatica Ltda;Pequeno Porte;2503001
Caaporã;PB;Sitecnet Informatica Ltda;Pequeno Porte;2503001
